Ciudad,Empresa,Sueldo,Periodo
madrid,Chess.com,Sobre 61 mil € -65 mil €,Data Scientist
madrid,Gestión,Sobre 24 mil € -27 mil €,Data Scientist
madrid,Adiant,Sobre 24 mil € -26 mil €,Data Scientist
madrid,Action Contre la Faim ,Sobre 28 mil € -31 mil €,Data Scientist
madrid,----,Sobre 37 mil € -40 mil €,Data Scientist
madrid,INNOVA Consulting Group,Sobre 49 mil € -53 mil €,Data Scientist
madrid,Peru En Tu Mesa,Sobre 24 mil € -26 mil €,Data Scientist
madrid,Inbonis,Sobre 50 mil € -53 mil €,Data Scientist
madrid,R&M Data Scientist,Sobre 46 mil € -50 mil €,Data Scientist
madrid,EFwef,Sobre 31 mil € -33 mil €,Data Scientist
madrid,Kernel,Sobre 43 mil € -47 mil €,Data Scientist
madrid,NPR Software,Sobre 32 mil € -35 mil €,Data Scientist
madrid,AXA / France,Sobre 32 mil € -34 mil €,Data Scientist
madrid,Building Outstanding Designs,Sobre 27 mil € -29 mil €,Data Scientist
madrid,Sum (Spain),Sobre 31 mil € -34 mil €,Data Scientist
madrid,BCC,Sobre 29 mil € -32 mil €,Data Scientist
madrid,Marconi International Usa,Sobre 46 mil € -50 mil €,Data Scientist - Proveedor de servicios
madrid,clipmgmt,Sobre 49 mil € -53 mil €,Data Scientist
madrid,DataScientest,Sobre 39 mil € -42 mil €,Data Scientist
madrid,AF,Sobre 26 mil € -28 mil €,Data Scientist
madrid,Experius IT Consultancy,Sobre 30 mil € -33 mil €,Data Scientist
madrid,OBI Intelligence,Sobre 72 mil € -78 mil €,Data Scientist
madrid,System to Increase Quality and Knowledge,Sobre 16 mil € -18 mil €,Data Scientist
madrid,Graphet Inc,Sobre 26 mil € -28 mil €,Data Scientist
madrid,Lang.ai,Sobre 53 mil € -58 mil €,Data Scientist
madrid,Sustainable Pest Systems,Sobre 46 mil € -50 mil €,Data Scientist
madrid,BBVA,54.783 € /año,Senior Data Scientist
madrid,Minsait,48.448 € /año,Senior Data Scientist
madrid,Accenture,32.212 € /año,Data Science Analyst
madrid,Orange,52.140 € /año,Senior Data Scientist
madrid,Cabify,53.455 € /año,Senior Data Scientist
madrid,Santander,30.194 € /año,Junior Data Scientist
madrid,McKinsey & Company,48.628 € /año,Senior Data Scientist
madrid,Savana,51.201 € /año,Senior Data Scientist
madrid,IIC,25.434 € /año,Junior Data Scientist
madrid,BBVA,Sobre 31 mil € -35 mil €,Científico De Datos
madrid,EUROSTAR MEDIAGROUP,Sobre 45 mil € -48 mil €,Científico De Datos
madrid,Telefónica,Sobre 37 mil € -44 mil €,Senior Data Scientist
madrid,Santander,Sobre 61 mil € -68 mil €,Senior Data Scientist
madrid,IBM,Sobre 37 mil € -45 mil €,Senior Data Scientist
madrid,Repsol,Sobre 49 mil € -61 mil €,Senior Data Scientist
madrid,SDG Group,Sobre 34 mil € -38 mil €,Senior Data Scientist
madrid,Bankinter,Sobre 51 mil € -69 mil €,Senior Data Scientist
madrid,Stratio,Sobre 43 mil € -47 mil €,Senior Data Scientist
madrid,EPAM,Sobre 51 mil € -60 mil €,Senior Data Scientist
madrid,The Cocktail,Sobre 47 mil € -51 mil €,Lead Data Scientist
madrid,BBVA,Sobre 39 mil € -54 mil €,Associate Data Scientist
madrid,BBVA,Sobre 47 mil € -58 mil €,Manager Data Scientist
madrid,Santander,Sobre 11 mil € -12 mil €,Data Science - Becario
madrid,Santander,Sobre 50 mil € -53 mil €,Data Science
madrid,KPMG,Sobre 620 € -677 €,Data Science - Becario por mes
madrid,Ayesa,Sobre 31 mil € -33 mil €,Data Science
madrid,Avanade,Sobre 23 mil € -25 mil €,Data Science
madrid,Samsung Electronics,Sobre 70 mil € -77 mil €,Data Science
madrid,Ninguno,Sobre 1 mil € -1 mil €,Data Science - Becario por mes
madrid,EDP Renewables,Sobre 597 € -645 €,Data Science - Becario por mes
madrid,WiZink,Sobre 59 mil € -64 mil €,Data Science
madrid,Holcim,Sobre 22 mil € -24 mil €,Data Science - Becario
madrid,TomTom,Sobre 796 € -875 €,Data Science - Becario por mes
madrid,Alkemy,Sobre 29 mil € -32 mil €,Data Science
madrid,Endesa X,Sobre 859 € -937 €,Data Science - Becario por mes
madrid,Vivid Seats,Sobre 40 mil € -43 mil €,Data Science
madrid,The Perfume Shop,Sobre 32 mil € -34 mil €,Data Science
madrid,INGENIO LABS,Sobre 524 € -558 €,Data Science - Becario por mes
madrid,Arrenta,Sobre 19 mil € -21 mil €,Data Science - Becario
madrid,Breeze Technologies UG,Sobre 14 € -16 € por hora,Data Science - Becario por hora
madrid,A Tech (IA),Sobre 20 mil € -21 mil €,Data Science
madrid,INCINE UNIVERSITARIO,Sobre 3 mil € -3 mil €,Data Science - Por mes
madrid,Santander,Sobre 49 mil € -53 mil €,Científico De Datos
madrid,IBM,Sobre 33 mil € -35 mil €,Científico De Datos
madrid,The Cocktail,Sobre 695 € -754 €,Científico De Datos - Por mes
madrid,Europ Assistance,Sobre 434 € -470 €,Científico De Datos - Becario por mes
madrid,PayPal,Sobre 69 mil € -76 mil €,Científico De Datos
madrid,Mott MacDonald,Sobre 37 mil € -40 mil €,Data scientists
madrid,Accenture,Sobre 46 mil € -50 mil €,Senior Data Scientist
madrid,KPMG,Sobre 34 mil € -36 mil €,Senior Data Scientist
madrid,Vodafone,Sobre 44 mil € -48 mil €,Senior Data Scientist
madrid,Sopra Steria,Sobre 56 mil € -62 mil €,Senior Data Scientist
madrid,Oracle,Sobre 47 mil € -52 mil €,Senior Data Scientist
madrid,Ineco,Sobre 49 mil € -54 mil €,Senior Data Scientist
madrid,Randstad,Sobre 29 mil € -31 mil €,Senior Data Scientist
madrid,Boston Consulting Group,Sobre 72 mil € -78 mil €,Senior Data Scientist - Proveedor de servicios
madrid,Majorel,Sobre 40 mil € -42 mil €,Senior Data Scientist
madrid,BBVA Next Technologies,Sobre 36 mil € -39 mil €,Senior Data Scientist
madrid,ALSTOM,Sobre 65 mil € -71 mil €,Senior Data Scientist
madrid,Capgemini Invent,Sobre 50 mil € -54 mil €,Senior Data Scientist
madrid,Openbank,Sobre 82 mil € -89 mil €,Senior Data Scientist
madrid,HipoGes Iberia,Sobre 57 mil € -62 mil €,Senior Data Scientist
madrid,GFT,Sobre 53 mil € -58 mil €,Senior Data Scientist
madrid,Clarity AI,Sobre 48 mil € -52 mil €,Senior Data Scientist
madrid,Dentsu International,Sobre 41 mil € -44 mil €,Senior Data Scientist
madrid,Zooplus,Sobre 42 mil € -45 mil €,Senior Data Scientist
madrid,M2C Consulting,Sobre 47 mil € -50 mil €,Senior Data Scientist
madrid,JTI - Japan Tobacco International,Sobre 77 mil € -84 mil €,Senior Data Scientist
madrid,Teradata,Sobre 54 mil € -58 mil €,Senior Data Scientist
madrid,CoverWallet,Sobre 40 mil € -44 mil €,Senior Data Scientist
madrid,BASF Digital Solutions,Sobre 50 mil € -54 mil €,Senior Data Scientist
madrid,Aplazame,Sobre 46 mil € -49 mil €,Senior Data Scientist
madrid,Altran Group,Sobre 40 mil € -44 mil €,Senior Data Scientist
madrid,Synergic Partners,Sobre 35 mil € -38 mil €,Senior Data Scientist
madrid,Ladorian,Sobre 46 mil € -50 mil €,Senior Data Scientist
madrid,Brambles,Sobre 77 mil € -83 mil €,Senior Data Scientist
madrid,TMC (Netherlands),Sobre 54 mil € -59 mil €,Senior Data Scientist
madrid,Orange Business Services,Sobre 46 mil € -50 mil €,Senior Data Scientist
madrid,Marketing & Bases De Datos Consultores,Sobre 36 mil € -39 mil €,Senior Data Scientist
madrid,Management Solutions,Sobre 43 mil € -46 mil €,Senior Data Scientist
madrid,Atam,Sobre 29 mil € -31 mil €,Senior Data Scientist
madrid,BBVA AI Factory,Sobre 45 mil € -49 mil €,Senior Data Scientist
madrid,QUANT AI Lab,Sobre 57 mil € -62 mil €,Senior Data Scientist
madrid,Italcementi,Sobre 42 mil € -46 mil €,Senior Data Scientist
madrid,Todo Econometría,Sobre 82 mil € -88 mil €,Senior Data Scientist
madrid,BeDataScience,Sobre 26 mil € -28 mil €,Senior Data Scientist
madrid,Jada,Sobre 42 mil € -45 mil €,Senior Data Scientist
madrid,Indra,Sobre 32 mil € -35 mil €,Junior Data Scientist
madrid,Telefónica,Sobre 31 mil € -34 mil €,Junior Data Scientist
madrid,Telefónica,Sobre 727 € -787 €,Junior Data Scientist - Becario por mes
